# times, noise
0.000000000000000000e+00 2.666645738115460533e-22
9.765625000000000000e-04 3.817371487585870870e-23
1.953125000000000000e-03 4.172274527617535807e-22
2.929687500000000000e-03 -4.833451467469274127e-24
3.906250000000000000e-03 -2.992518766849760428e-22
4.882812500000000000e-03 7.415823998555016634e-23
5.859375000000000000e-03 -2.409135681569583677e-22
6.835937500000000000e-03 1.947178968081620289e-22
7.812500000000000000e-03 -7.785777968206151479e-23
8.789062500000000000e-03 -2.457113606256658421e-22
9.765625000000000000e-03 -4.771639854161042610e-23
1.074218750000000000e-02 1.480804444612088979e-22
1.171875000000000000e-02 -6.333465622887232131e-23
1.269531250000000000e-02 1.934766308610388611e-22
1.367187500000000000e-02 3.007274680248368429e-22
1.464843750000000000e-02 -1.989769538979260942e-22
1.562500000000000000e-02 2.290923117356079934e-22
1.660156250000000000e-02 1.206380488072941538e-22
1.757812500000000000e-02 4.005494927790758501e-23
1.855468750000000000e-02 -3.461931402780792859e-22
1.953125000000000000e-02 -1.781493662462623067e-23
2.050781250000000000e-02 -2.823125508516857826e-23
2.148437500000000000e-02 -3.180059893177277039e-22
2.246093750000000000e-02 5.141845354375946592e-22
2.343750000000000000e-02 4.940021651541799409e-23
2.441406250000000000e-02 2.832314449666175539e-22
2.539062500000000000e-02 -3.902974938731909067e-23
2.636718750000000000e-02 1.769375125254514043e-22
2.734375000000000000e-02 -2.277541778350463727e-22
2.832031250000000000e-02 -4.861328456958429754e-24
2.929687500000000000e-02 2.304689061978177019e-22
3.027343750000000000e-02 -1.437267820443042534e-23
3.125000000000000000e-02 -1.443105140384643292e-22
3.222656250000000000e-02 2.274617732930234769e-22
3.320312500000000000e-02 -3.153609081545793937e-23
3.417968750000000000e-02 -5.453110756092339381e-23
3.515625000000000000e-02 -1.224021272887564352e-22
3.613281250000000000e-02 -1.710264727304243294e-22
3.710937500000000000e-02 -1.081431231250446588e-22
3.808593750000000000e-02 2.216374100603806902e-23
3.906250000000000000e-02 3.661940598438583949e-23
4.003906250000000000e-02 1.200874209759876744e-22
4.101562500000000000e-02 9.994730393123355528e-23
4.199218750000000000e-02 2.581258802230183050e-22
4.296875000000000000e-02 1.641808156668428592e-22
4.394531250000000000e-02 -1.975508126229944521e-22
4.492187500000000000e-02 3.440687743218237517e-23
4.589843750000000000e-02 -3.420340343947352180e-22
4.687500000000000000e-02 1.559622226114528848e-22
4.785156250000000000e-02 2.332475021566447547e-22
4.882812500000000000e-02 1.995772780624801233e-22
4.980468750000000000e-02 -9.383443851169145914e-23
5.078125000000000000e-02 2.409871873652948503e-22
5.175781250000000000e-02 3.648583609247748962e-22
5.273437500000000000e-02 3.263122773848447752e-23
5.371093750000000000e-02 6.879467070125653725e-23
5.468750000000000000e-02 7.924140301044162855e-23
5.566406250000000000e-02 -3.096199528790104285e-22
5.664062500000000000e-02 3.965554294221867852e-22
5.761718750000000000e-02 -2.096794863751024700e-22
5.859375000000000000e-02 -2.741841381768950821e-22
5.957031250000000000e-02 9.385406848080994706e-23
6.054687500000000000e-02 -2.320100315223341490e-22
6.152343750000000000e-02 1.581565927583703896e-22
6.250000000000000000e-02 -5.044488214112564902e-23
6.347656250000000000e-02 -1.079004856447603181e-22
6.445312500000000000e-02 -1.822780312331557669e-22
6.542968750000000000e-02 8.321710640600894932e-23
6.640625000000000000e-02 3.870923325215342545e-23
6.738281250000000000e-02 -3.702072765070087693e-23
6.835937500000000000e-02 -1.129350589378006627e-22
6.933593750000000000e-02 -1.558707510560500277e-22
7.031250000000000000e-02 -9.322549473136255355e-23
7.128906250000000000e-02 -1.462234466233264163e-23
7.226562500000000000e-02 2.416426624972351629e-22
7.324218750000000000e-02 2.238714562162969476e-22
7.421875000000000000e-02 1.397853836750546854e-22
7.519531250000000000e-02 -2.453200515308986910e-23
7.617187500000000000e-02 2.147890107756529542e-22
7.714843750000000000e-02 -2.581017324091062278e-22
7.812500000000000000e-02 -3.107732358287348152e-22
7.910156250000000000e-02 9.195000031156577769e-23
8.007812500000000000e-02 2.119723909445573562e-22
8.105468750000000000e-02 -9.126257970559652237e-23
8.203125000000000000e-02 -1.706040441036474213e-23
8.300781250000000000e-02 2.055072011545458748e-22
8.398437500000000000e-02 1.934123360703614139e-22
8.496093750000000000e-02 2.666446839444818909e-22
8.593750000000000000e-02 -6.418736642955755570e-23
8.691406250000000000e-02 -3.965056290772235526e-22
8.789062500000000000e-02 -1.717199086610713503e-22
8.886718750000000000e-02 -1.210691762285656227e-22
8.984375000000000000e-02 -9.260786764935061214e-23
9.082031250000000000e-02 6.147958318314799518e-23
9.179687500000000000e-02 -2.982967510940812266e-22
9.277343750000000000e-02 1.514401123252347424e-22
9.375000000000000000e-02 -6.086001369714517766e-23
9.472656250000000000e-02 -1.625866573157199619e-22
9.570312500000000000e-02 1.092949160560616413e-22
9.667968750000000000e-02 2.941007399165291700e-22
9.765625000000000000e-02 9.042023453696910095e-23
9.863281250000000000e-02 -1.303758122218112349e-22
9.960937500000000000e-02 3.544179545796448162e-24
