# times, noise
0.000000000000000000e+00 4.120299165294044822e-22
9.765625000000000000e-04 -1.843126544868932150e-22
1.953125000000000000e-03 4.045916105248774010e-23
2.929687500000000000e-03 -2.247505811737219234e-22
3.906250000000000000e-03 -3.994171175627612554e-23
4.882812500000000000e-03 3.627123380298624135e-22
5.859375000000000000e-03 -2.290877769865344790e-22
6.835937500000000000e-03 -3.081070035126200151e-23
7.812500000000000000e-03 1.440603884384932460e-22
8.789062500000000000e-03 3.860321002196707624e-22
9.765625000000000000e-03 -1.871561093377322416e-23
1.074218750000000000e-02 2.599890806452493267e-22
1.171875000000000000e-02 -5.299364135196816329e-23
1.269531250000000000e-02 -7.028711805012133218e-23
1.367187500000000000e-02 -1.700152230365767521e-24
1.464843750000000000e-02 -3.015052798451993567e-23
1.562500000000000000e-02 -1.200273389238662779e-22
1.660156250000000000e-02 8.911424895362820093e-23
1.757812500000000000e-02 -1.879179132800801017e-22
1.855468750000000000e-02 -1.871513658130701393e-22
1.953125000000000000e-02 1.020587489777158436e-22
2.050781250000000000e-02 -7.799891790174080427e-23
2.148437500000000000e-02 2.367670327121337245e-22
2.246093750000000000e-02 -1.363336510091448727e-22
2.343750000000000000e-02 -7.537100228811295195e-23
2.441406250000000000e-02 -2.450448308145396815e-22
2.539062500000000000e-02 -9.499055646373117932e-23
2.636718750000000000e-02 -1.405035907204552323e-22
2.734375000000000000e-02 -4.436442175805563076e-22
2.832031250000000000e-02 7.200290519266674879e-23
2.929687500000000000e-02 -1.751282113571600772e-22
3.027343750000000000e-02 1.678685567378762063e-22
3.125000000000000000e-02 -4.780520325614133048e-22
3.222656250000000000e-02 -1.053533201007633504e-22
3.320312500000000000e-02 -1.798035188117803779e-22
3.417968750000000000e-02 3.843759538836531295e-22
3.515625000000000000e-02 1.457437035956586994e-22
3.613281250000000000e-02 2.773894208096858625e-22
3.710937500000000000e-02 -2.066453310846592101e-22
3.808593750000000000e-02 -8.038324896934395421e-23
3.906250000000000000e-02 -2.073879766573726581e-22
4.003906250000000000e-02 -2.156633950564034938e-24
4.101562500000000000e-02 -2.393388127295286102e-22
4.199218750000000000e-02 3.042775880572385863e-22
4.296875000000000000e-02 -4.611567920864902311e-24
4.394531250000000000e-02 3.993546726884109456e-22
4.492187500000000000e-02 -2.691972273381476344e-23
4.589843750000000000e-02 -2.379371841980479917e-22
4.687500000000000000e-02 1.950905378926098680e-22
4.785156250000000000e-02 7.997059271799967801e-23
4.882812500000000000e-02 -6.966355383482382914e-23
4.980468750000000000e-02 -3.691351529392814656e-22
5.078125000000000000e-02 -7.134304401164517197e-23
5.175781250000000000e-02 2.597537627592102990e-24
5.273437500000000000e-02 1.543587093016196773e-22
5.371093750000000000e-02 3.337722257900814033e-24
5.468750000000000000e-02 -3.055323546136933549e-22
5.566406250000000000e-02 -1.390573531382024036e-22
5.664062500000000000e-02 2.631236897499469057e-22
5.761718750000000000e-02 -9.946315856260439773e-23
5.859375000000000000e-02 5.505045271986342266e-23
5.957031250000000000e-02 -3.196413845585331872e-22
6.054687500000000000e-02 -2.188186315703820681e-22
6.152343750000000000e-02 9.990170241081287087e-23
6.250000000000000000e-02 3.064321590627742323e-23
6.347656250000000000e-02 4.976231170540945962e-22
6.445312500000000000e-02 1.314300711642084686e-22
6.542968750000000000e-02 -7.473452427861409087e-23
6.640625000000000000e-02 1.257717115712784752e-22
6.738281250000000000e-02 -1.934612858023695671e-22
6.835937500000000000e-02 3.955355567766596642e-22
6.933593750000000000e-02 -2.603622668519947167e-22
7.031250000000000000e-02 1.553109876631832566e-22
7.128906250000000000e-02 -7.104714790481325375e-23
7.226562500000000000e-02 2.163263474419018057e-22
7.324218750000000000e-02 -4.841401306595269059e-22
7.421875000000000000e-02 -2.178659706529291963e-22
7.519531250000000000e-02 -1.545729601887178354e-22
7.617187500000000000e-02 1.139858445823314965e-22
7.714843750000000000e-02 4.652743914386920093e-22
7.812500000000000000e-02 -1.317420603026403708e-22
7.910156250000000000e-02 -7.254576542424317768e-23
8.007812500000000000e-02 -5.562548700847356123e-23
8.105468750000000000e-02 -2.223156151659786419e-22
8.203125000000000000e-02 -1.150019732292021135e-22
8.300781250000000000e-02 5.065129543526992171e-24
8.398437500000000000e-02 -1.867918218013858839e-22
8.496093750000000000e-02 3.354600375057969960e-22
8.593750000000000000e-02 1.154486970561829887e-22
8.691406250000000000e-02 -1.199163682488217920e-22
8.789062500000000000e-02 1.199368736555671412e-22
8.886718750000000000e-02 -1.792914149347993420e-22
8.984375000000000000e-02 8.180731922260417437e-23
9.082031250000000000e-02 1.518085680294117228e-22
9.179687500000000000e-02 2.158958032303479244e-22
9.277343750000000000e-02 -3.643043040910485557e-22
9.375000000000000000e-02 1.454040422648320505e-22
9.472656250000000000e-02 1.246782746863544651e-22
9.570312500000000000e-02 3.503671899501416375e-23
9.667968750000000000e-02 -6.128367915063962935e-22
9.765625000000000000e-02 1.641258692976944862e-22
9.863281250000000000e-02 5.912673071279907895e-22
9.960937500000000000e-02 1.517982514367041622e-22
1.005859375000000000e-01 -1.824557082787864957e-22
1.015625000000000000e-01 2.564216202189746238e-22
1.025390625000000000e-01 -2.729185758223653180e-22
1.035156250000000000e-01 -2.046063963593631406e-22
1.044921875000000000e-01 2.981964811503596482e-22
1.054687500000000000e-01 -2.439391812343228425e-22
1.064453125000000000e-01 1.590968485290046701e-22
1.074218750000000000e-01 -9.270657066281701257e-23
1.083984375000000000e-01 -5.252483892867522716e-23
1.093750000000000000e-01 1.097060693815884571e-22
1.103515625000000000e-01 -4.676871896704271951e-22
1.113281250000000000e-01 -4.232869985333676737e-22
1.123046875000000000e-01 1.538560580357736149e-23
1.132812500000000000e-01 -1.661230111477843238e-22
1.142578125000000000e-01 4.519628890405823716e-22
1.152343750000000000e-01 -1.420501400709980789e-22
1.162109375000000000e-01 4.453152641887253742e-22
1.171875000000000000e-01 -1.609065354091872234e-22
1.181640625000000000e-01 8.083040985530254173e-23
1.191406250000000000e-01 -3.377709615929976978e-22
1.201171875000000000e-01 -8.222890974782353019e-23
1.210937500000000000e-01 -3.480653196255956307e-22
1.220703125000000000e-01 1.789585588851030022e-22
1.230468750000000000e-01 9.965679991060120881e-23
1.240234375000000000e-01 -1.107078182222992066e-22
1.250000000000000000e-01 8.434969790075337263e-23
1.259765625000000000e-01 -4.234001664158892010e-22
1.269531250000000000e-01 -1.682306861188837109e-22
1.279296875000000000e-01 1.632494464618457297e-22
1.289062500000000000e-01 1.421376702119489565e-23
1.298828125000000000e-01 1.124726120594903982e-22
1.308593750000000000e-01 -4.768683926669571681e-23
1.318359375000000000e-01 -3.499042104449940085e-23
1.328125000000000000e-01 -1.789286142360938825e-22
1.337890625000000000e-01 1.721468614875801054e-22
1.347656250000000000e-01 -1.891175213659454821e-22
1.357421875000000000e-01 3.126191049423622552e-23
1.367187500000000000e-01 1.644328004164910898e-22
1.376953125000000000e-01 -3.585257800247208903e-22
1.386718750000000000e-01 1.507874038493021645e-22
1.396484375000000000e-01 1.880643886791733747e-23
1.406250000000000000e-01 4.744639591895157166e-23
1.416015625000000000e-01 -1.918204675734243171e-22
1.425781250000000000e-01 2.506051801219535263e-22
1.435546875000000000e-01 -1.214830969699617268e-22
1.445312500000000000e-01 2.870890790180886914e-22
1.455078125000000000e-01 2.434404748316685713e-23
1.464843750000000000e-01 -3.317706760590731503e-22
1.474609375000000000e-01 1.372265688087787851e-22
1.484375000000000000e-01 2.543639102885249696e-22
1.494140625000000000e-01 -9.530711152658255337e-23
1.503906250000000000e-01 -9.062511179064414051e-23
1.513671875000000000e-01 -2.029936065337550518e-22
1.523437500000000000e-01 3.619576325937758585e-22
1.533203125000000000e-01 2.901210020007289423e-22
1.542968750000000000e-01 -2.741088905435186598e-22
1.552734375000000000e-01 3.578213971569372252e-22
1.562500000000000000e-01 -1.554456246653881126e-22
1.572265625000000000e-01 3.302246068676047290e-22
1.582031250000000000e-01 -6.376395754684573609e-23
1.591796875000000000e-01 2.816689535586984449e-23
1.601562500000000000e-01 -9.611379232836035875e-23
1.611328125000000000e-01 -1.132111254974260289e-22
1.621093750000000000e-01 -2.528375259289184717e-22
1.630859375000000000e-01 4.130183650716330140e-23
1.640625000000000000e-01 4.253731947061588013e-22
1.650390625000000000e-01 -5.193932076642248849e-22
1.660156250000000000e-01 1.078375021279023800e-22
1.669921875000000000e-01 -1.850420140194337662e-23
1.679687500000000000e-01 1.347766652680609402e-22
1.689453125000000000e-01 -3.486034060746137954e-23
1.699218750000000000e-01 -2.213055048844656510e-23
1.708984375000000000e-01 -7.390344054195707286e-23
1.718750000000000000e-01 3.116751501914439554e-22
1.728515625000000000e-01 -2.345329267127283782e-22
1.738281250000000000e-01 1.268204150113151907e-22
1.748046875000000000e-01 -1.309856538464467160e-22
1.757812500000000000e-01 -1.863881304375611916e-22
1.767578125000000000e-01 -4.385029184717808505e-22
1.777343750000000000e-01 -1.262220777784344477e-22
1.787109375000000000e-01 -7.731341024880246295e-23
1.796875000000000000e-01 2.260725847792079979e-22
1.806640625000000000e-01 1.191091631592986111e-22
1.816406250000000000e-01 -2.004166813157250513e-22
1.826171875000000000e-01 -2.640045450993812588e-23
1.835937500000000000e-01 1.456785783463224242e-22
1.845703125000000000e-01 -1.528511257101668299e-22
1.855468750000000000e-01 -7.058964399431827661e-23
1.865234375000000000e-01 -6.363374677284076196e-23
1.875000000000000000e-01 1.794638198547335171e-22
1.884765625000000000e-01 2.502732512999136032e-22
1.894531250000000000e-01 1.905741632310434180e-22
1.904296875000000000e-01 -1.378149924811114561e-22
1.914062500000000000e-01 -3.970395118814804585e-23
1.923828125000000000e-01 4.588690970226645446e-22
1.933593750000000000e-01 -2.943057385648852734e-22
1.943359375000000000e-01 -1.428938163436327475e-22
1.953125000000000000e-01 -8.572504276108930910e-23
1.962890625000000000e-01 4.546532426367486857e-23
1.972656250000000000e-01 -8.135001671578379881e-23
1.982421875000000000e-01 -1.789907191291028526e-22
1.992187500000000000e-01 -5.799004977295173934e-23
2.001953125000000000e-01 -2.488886372582380623e-23
2.011718750000000000e-01 -4.182147775746821901e-22
2.021484375000000000e-01 1.730846151267821398e-22
2.031250000000000000e-01 -3.163306914409594151e-22
2.041015625000000000e-01 3.177530120570596635e-23
2.050781250000000000e-01 6.385223697378701955e-23
2.060546875000000000e-01 -3.791105197938416016e-22
2.070312500000000000e-01 3.469813985981717193e-22
2.080078125000000000e-01 -1.075177338501955502e-22
2.089843750000000000e-01 -2.805196868285018644e-23
2.099609375000000000e-01 -8.750630736285298943e-23
2.109375000000000000e-01 -1.240444441365975580e-22
2.119140625000000000e-01 -4.305748985700038141e-23
2.128906250000000000e-01 6.336062664589929956e-23
2.138671875000000000e-01 -1.590117987909213913e-22
2.148437500000000000e-01 1.081105945490010469e-22
2.158203125000000000e-01 -2.567024440558751187e-22
2.167968750000000000e-01 -2.398288635723509425e-22
2.177734375000000000e-01 1.632771605616809148e-22
2.187500000000000000e-01 2.289419629750998628e-23
2.197265625000000000e-01 3.722134026287890361e-22
2.207031250000000000e-01 3.896443081038819437e-22
2.216796875000000000e-01 -6.703010319667367000e-24
2.226562500000000000e-01 4.288910815051880602e-22
2.236328125000000000e-01 -1.042663491760400438e-22
2.246093750000000000e-01 -3.840788868110296968e-23
2.255859375000000000e-01 -2.607618007971988177e-22
2.265625000000000000e-01 -2.835892491285342263e-22
2.275390625000000000e-01 -4.701213033063043569e-23
2.285156250000000000e-01 -2.160163110100568140e-22
2.294921875000000000e-01 3.896970091912793951e-22
2.304687500000000000e-01 3.502781835715063643e-22
2.314453125000000000e-01 -5.237977755738279468e-23
2.324218750000000000e-01 5.605409430903553937e-24
2.333984375000000000e-01 1.458757456933689444e-22
2.343750000000000000e-01 -4.492459218269438947e-23
2.353515625000000000e-01 8.103287109515807294e-23
2.363281250000000000e-01 2.366961510386510547e-22
2.373046875000000000e-01 3.023788970356904218e-23
2.382812500000000000e-01 -4.865770137061963200e-24
2.392578125000000000e-01 -3.278109684067352184e-23
2.402343750000000000e-01 -4.110771006319158560e-22
2.412109375000000000e-01 -1.142371248897121097e-22
2.421875000000000000e-01 -1.593638527862625778e-22
2.431640625000000000e-01 5.116324866143924834e-23
2.441406250000000000e-01 2.619644470085156064e-22
2.451171875000000000e-01 2.650941312227949717e-22
2.460937500000000000e-01 1.444880112889397533e-22
2.470703125000000000e-01 -3.567532349327421333e-22
2.480468750000000000e-01 -9.626098706661286844e-23
2.490234375000000000e-01 -2.678031056732859185e-22
2.500000000000000000e-01 1.181186760512596176e-22
2.509765625000000000e-01 -6.229062291404339608e-23
2.519531250000000000e-01 8.431363974577329159e-23
2.529296875000000000e-01 8.425929278338044814e-23
2.539062500000000000e-01 9.172110209646805256e-25
2.548828125000000000e-01 4.500111207839482634e-23
2.558593750000000000e-01 -2.854468352094881407e-23
2.568359375000000000e-01 -1.486075538037258732e-22
2.578125000000000000e-01 4.464218982091860235e-23
2.587890625000000000e-01 -3.806142786214979799e-23
2.597656250000000000e-01 1.503560159550275188e-22
2.607421875000000000e-01 3.502959052690446711e-23
2.617187500000000000e-01 3.870322054487810732e-23
2.626953125000000000e-01 1.744010773407676959e-23
2.636718750000000000e-01 -6.667413116359723470e-23
2.646484375000000000e-01 -1.487162519949697875e-22
2.656250000000000000e-01 -1.871156058481156131e-22
2.666015625000000000e-01 2.986953927975835337e-23
2.675781250000000000e-01 -1.563858554203590632e-22
2.685546875000000000e-01 -3.476318138376955199e-23
2.695312500000000000e-01 -1.123556323588956842e-22
2.705078125000000000e-01 -2.206691701087791118e-22
2.714843750000000000e-01 2.583451090285516242e-22
2.724609375000000000e-01 6.023834884630831435e-22
2.734375000000000000e-01 3.240993569078295295e-23
2.744140625000000000e-01 -4.219881911216871099e-23
2.753906250000000000e-01 1.037287991188499469e-22
2.763671875000000000e-01 1.781560458619230973e-22
2.773437500000000000e-01 -1.983659387169671472e-22
2.783203125000000000e-01 -7.864588914343182771e-23
2.792968750000000000e-01 -4.906865780530979874e-25
2.802734375000000000e-01 1.285256928549363910e-22
2.812500000000000000e-01 -6.784702580720565550e-23
2.822265625000000000e-01 -2.826199557489445110e-22
2.832031250000000000e-01 -2.991945805162686648e-24
2.841796875000000000e-01 -1.784038354066035322e-22
2.851562500000000000e-01 -1.260722125512036974e-23
2.861328125000000000e-01 1.587933676738642871e-22
2.871093750000000000e-01 2.126739263043321883e-22
2.880859375000000000e-01 -3.316024476236251143e-23
2.890625000000000000e-01 -3.553854574487978695e-23
2.900390625000000000e-01 4.497149793239811726e-22
2.910156250000000000e-01 -1.143837714366734399e-22
2.919921875000000000e-01 -2.303768882147107868e-22
2.929687500000000000e-01 -2.693891267978503931e-22
2.939453125000000000e-01 -1.374177017947823275e-22
2.949218750000000000e-01 3.349296022331451132e-22
2.958984375000000000e-01 3.825559857830299154e-22
2.968750000000000000e-01 -4.949773556412646627e-22
2.978515625000000000e-01 -7.921483677411167976e-23
