# time, h1, l1
0.000000000000000000e+00 -1.552930974721779777e-22 -1.552933414906887673e-22
4.882812500000000000e-04 1.523993185666695574e-22 1.523995050107906503e-22
9.765625000000000000e-04 -2.035997007066315875e-22 -2.036001823433720950e-22
1.464843750000000000e-03 1.739985361385727742e-22 1.739989269341402181e-22
1.953125000000000000e-03 -1.324043375823781970e-23 -1.324116619170025329e-23
2.441406250000000000e-03 2.784595033888109127e-24 2.785212039705455538e-24
2.929687500000000000e-03 4.199472320919313266e-23 4.199372365483707334e-23
3.417968750000000000e-03 1.962777809215069406e-23 1.962864802100460901e-23
3.906250000000000000e-03 7.161353353078173456e-23 7.161224602914571300e-23
4.394531250000000000e-03 -1.832718924500941814e-22 -1.832707366963585570e-22
4.882812500000000000e-03 -9.914844956073949247e-23 -9.915005227003493684e-23
5.371093750000000000e-03 2.018125541363643642e-22 2.018140368167777552e-22
5.859375000000000000e-03 1.128086009249780413e-22 1.128066464997085988e-22
6.347656250000000000e-03 -1.395328756733204091e-22 -1.395310136408680628e-22
6.835937500000000000e-03 -5.372257237450659064e-23 -5.372492853911452720e-23
7.324218750000000000e-03 -3.040924025002876173e-22 -3.040900923656428837e-22
7.812500000000000000e-03 -1.480663302284536171e-22 -1.480691584245163052e-22
8.300781250000000000e-03 7.250141575246131202e-23 7.250426742378944010e-23
8.789062500000000000e-03 -1.978786311110962168e-22 -1.978820332458292604e-22
9.277343750000000000e-03 1.847319837672351047e-22 1.847355098465902268e-22
9.765625000000000000e-03 -1.517711456615739245e-22 -1.517752756148231521e-22
1.025390625000000000e-02 -3.806940417307008326e-23 -3.806500356150508871e-23
1.074218750000000000e-02 -2.056884578725855093e-22 -2.056935612360263411e-22
1.123046875000000000e-02 1.371009954174023932e-22 1.371065954870686617e-22
1.171875000000000000e-02 -1.284992185231874611e-22 -1.285057194256689170e-22
1.220703125000000000e-02 -1.464422159217793222e-22 -1.464348313130142849e-22
1.269531250000000000e-02 6.169517832623757315e-23 6.168645542645753945e-23
1.318359375000000000e-02 1.654489857796500253e-22 1.654593848731979968e-22
1.367187500000000000e-02 -4.006464623017717075e-23 -4.007753669525011748e-23
1.416015625000000000e-02 -6.843113459032505980e-23 -6.841434813935072776e-23
1.464843750000000000e-02 -8.521677208947917345e-23 -8.524052910747881099e-23
1.513671875000000000e-02 2.321987268275626757e-22 2.322388703086807725e-22
1.562500000000000000e-02 -1.923229295046427672e-22 -1.924382932070750382e-22
1.611328125000000000e-02 1.695292584729304756e-22 1.692924668111346321e-22
1.660156250000000000e-02 4.216740986113831815e-23 4.198004586104247632e-23
1.708984375000000000e-02 -8.371819734915657360e-24 -8.679708901608228564e-24
1.757812500000000000e-02 -2.883153131092980544e-23 -2.916536006699026571e-23
1.806640625000000000e-02 1.942086010595894979e-22 1.937874105544788174e-22
1.855468750000000000e-02 5.601250618347127815e-23 5.555693793192141772e-23
1.904296875000000000e-02 1.997770472849033354e-23 1.945157878011880853e-23
1.953125000000000000e-02 2.450290902774242204e-22 2.444703755353175016e-22
2.001953125000000000e-02 1.794483808461176030e-22 1.788331189513197819e-22
2.050781250000000000e-02 1.775062310700701673e-22 1.768645855331278623e-22
2.099609375000000000e-02 -1.791890053766427400e-22 -1.798735702672500125e-22
2.148437500000000000e-02 1.678638968304961909e-22 1.671617089373010667e-22
2.197265625000000000e-02 -1.672300125224753881e-22 -1.679613154992480221e-22
2.246093750000000000e-02 1.471144770249721479e-22 1.463759158031492147e-22
2.294921875000000000e-02 6.056647530015037805e-24 5.302937478155137216e-24
2.343750000000000000e-02 4.641458926117316195e-23 4.566489396866849314e-23
2.392578125000000000e-02 7.799200070787451474e-23 7.724108490386941165e-23
2.441406250000000000e-02 6.098511838935633466e-23 6.024982182228292625e-23
2.490234375000000000e-02 -5.770356760121569484e-23 -5.842653087949839994e-23
2.539062500000000000e-02 3.460278126198455371e-23 3.390687601242601477e-23
2.587890625000000000e-02 2.766516717969034412e-23 2.699441652810853419e-23
2.636718750000000000e-02 1.031149004475575852e-22 1.024820027825064724e-22
2.685546875000000000e-02 7.358593363295230922e-23 7.298992533826254844e-23
2.734375000000000000e-02 -9.180351890286073878e-23 -9.235195651797878667e-23
2.783203125000000000e-02 -2.396170097781982132e-22 -2.401182475165094335e-22
2.832031250000000000e-02 -2.367037445426454664e-23 -2.411576539575203868e-23
2.880859375000000000e-02 -6.704181359716356033e-23 -6.743145018317937721e-23
2.929687500000000000e-02 -1.479557241341664903e-22 -1.482829820583337144e-22
2.978515625000000000e-02 9.901970934767109272e-24 9.637030518630869699e-24
3.027343750000000000e-02 1.390729345315205530e-23 1.370923442927050680e-23
3.076171875000000000e-02 8.931355808350988441e-23 8.918220191668634395e-23
3.125000000000000000e-02 -6.620213125764893724e-24 -6.682361824896484553e-24
3.173828125000000000e-02 -6.258681432083573613e-23 -6.258020660523095307e-23
3.222656250000000000e-02 -8.760837179609476352e-24 -8.684977545867184677e-24
3.271484375000000000e-02 -5.421991836147171874e-23 -5.407563109174521077e-23
3.320312500000000000e-02 -1.052336472854426155e-22 -1.050221595854066611e-22
3.369140625000000000e-02 -1.998003791800300865e-22 -1.995234819557952148e-22
3.417968750000000000e-02 1.102765439180624044e-22 1.106165029810611100e-22
3.466796875000000000e-02 -1.146133016753721351e-22 -1.142131627644982384e-22
3.515625000000000000e-02 2.963926246657752805e-23 3.009619328594687742e-23
3.564453125000000000e-02 -1.162238792517449442e-22 -1.157140251773500818e-22
3.613281250000000000e-02 -6.985968667130837893e-23 -6.930122808518927922e-23
3.662109375000000000e-02 -2.126586199577941376e-22 -2.120562835852919044e-22
3.710937500000000000e-02 1.810534889908407950e-23 1.874646686613066693e-23
3.759765625000000000e-02 4.562494742946266284e-23 4.629941748249809573e-23
3.808593750000000000e-02 -2.965208440794028024e-22 -2.958187299046858085e-22
3.857421875000000000e-02 -2.629584504536124528e-23 -2.557202236561494349e-23
3.906250000000000000e-02 1.388400385171681223e-22 1.395794404318468992e-22
3.955078125000000000e-02 -6.082745010934676985e-23 -6.007872843612763686e-23
4.003906250000000000e-02 1.722869984943984912e-22 1.730387161490415364e-22
4.052734375000000000e-02 1.878339678040280768e-22 1.885823181200396665e-22
4.101562500000000000e-02 -8.191864342175890007e-23 -8.117999977279499622e-23
4.150390625000000000e-02 2.373597935950847961e-22 2.380824968247139530e-22
4.199218750000000000e-02 -1.017447247248253045e-22 -1.010440755209222107e-22
4.248046875000000000e-02 6.480776490203459021e-23 6.548042130706533707e-23
4.296875000000000000e-02 2.163229825075402376e-22 2.169619715298036905e-22
4.345703125000000000e-02 1.960031482212705428e-23 2.020023546469528541e-23
4.394531250000000000e-02 7.365107802499142542e-23 7.420684513232798571e-23
4.443359375000000000e-02 -4.965384269992929460e-23 -4.914691753201315546e-23
4.492187500000000000e-02 1.688423748328550259e-23 1.733803844018488022e-23
4.541015625000000000e-02 3.375024714302333626e-23 3.414708115251201572e-23
