#m1, m2, distance, t0s, ra, dec, pol, h1_mf_snr, l1_mf_snr, h1_optimal_snr, l1_optimal_snr
3.134512873403477684e+01 2.520703346862811500e+01 2.038297096792845196e+03 9.354066801789106478e+01 1.071349691275615523e+00 -9.587947971790099500e-01 5.864064698276056475e+00 5.265810904026765549e+00 5.272838496133966935e+00 1.018892140077547026e+01 7.974831828057285854e+00
3.994318477636532805e+01 3.147433542109145321e+01 3.739819678563409525e+03 8.858189619668583248e+01 2.830074944684230598e+00 -1.260602722697745870e+00 4.714757629818167928e+00 4.649310214223330462e+00 4.660717502532637724e+00 9.593353103209063093e+00 7.975223883314964901e+00
3.723557048893474075e+01 3.032351828285537465e+01 2.457497639511076613e+03 2.020292956502422044e+01 2.494417216019495509e+00 -3.820552666827091159e-01 5.577950775611277834e-01 4.487258017733971371e+00 4.485774395371270096e+00 1.356175167161587858e+01 1.126820237679156023e+01
2.813501675154931547e+01 2.650799202070543714e+01 4.796166238993893785e+03 4.500689551203441852e+01 2.048274799466358875e-01 -3.453579434548124660e-01 5.504604062333372738e+00 5.134596167337960537e+00 5.155637021779026163e+00 3.674753922424519814e+00 4.631474729566317450e+00
3.851960042618795654e+01 2.454473365445882038e+01 1.652479754400418642e+03 6.850060175493567272e+01 3.246554164114856977e+00 4.300517312050907565e-02 3.253939414515961914e+00 4.643536985444576715e+00 4.639488504371283462e+00 1.443419200884629738e+01 1.769538344314256761e+01
3.547746399841474840e+01 2.264182370929150778e+01 4.821899805259929963e+03 5.270648731617787774e+01 3.596468364610817758e+00 9.617244056491143500e-02 3.573827007730351557e+00 5.167547971869662859e+00 5.163918918971873495e+00 3.982028981169877024e+00 5.552269396277814906e+00
3.378070046449581554e+01 2.985831436527876903e+01 7.637008278704076474e+03 2.655897475790607132e+01 3.211522127143850103e+00 -1.469184227185857061e+00 6.017689319569803352e+00 4.660749289926245709e+00 4.667882349543519105e+00 3.794461513499592265e+00 3.136205863803871452e+00
3.856596915079869348e+01 2.567714645199583501e+01 5.598270643147365263e+03 9.165653939396051442e+00 3.326107260038081659e+00 3.302769203545737331e-01 2.972853921966226221e+00 4.626547519493251492e+00 4.633317500921414478e+00 3.468413915649560586e+00 4.372094353747248974e+00
3.911530728328523310e+01 2.090071800764001608e+01 1.060653211526204132e+03 4.099565583425484050e+01 6.161135732639496432e+00 -4.762459331169590498e-02 4.892129268551510535e+00 4.948055342416467717e+00 4.944771806543217352e+00 2.060296805753981531e+01 2.397080582898880508e+01
3.902369389333306771e+01 2.375367348104661858e+01 1.935209350495143781e+03 7.697223012573645917e+01 3.502197102275416807e+00 -9.378989280341328838e-01 3.818047838732207211e+00 4.599277044570106554e+00 4.597978924492164943e+00 1.646627261774893114e+01 1.640821721380403631e+01
3.262335207516977675e+01 2.006378230824181941e+01 2.413516660302902892e+03 1.467341591728784067e+01 1.122303103770366128e+00 6.123869599509464828e-02 3.928911355076567080e+00 4.639060891404672482e+00 4.626539737801417473e+00 2.299973944685655525e+00 7.373351834027709550e+00
3.849934789025842008e+01 2.730004155811275623e+01 4.335924318275763653e+03 6.043691171267956719e+01 5.928148274986311250e+00 -8.792674418577840489e-01 3.079473725674943374e+00 4.563647711494906112e+00 4.563290602076409463e+00 1.294433124473842511e+00 1.065560277009388379e+00
