# time, h1, l1
0.000000000000000000e+00 -9.445308550652053349e-24 4.094031576656798168e-23
4.882812500000000000e-04 -1.862059455399961061e-23 7.247388985448583379e-23
9.765625000000000000e-04 -4.931341503948683408e-23 -2.877085860056507568e-22
1.464843750000000000e-03 -2.067401158074833517e-22 2.535984006604361936e-22
1.953125000000000000e-03 -2.674513790177541964e-22 -2.572608326377699633e-23
2.441406250000000000e-03 4.024493341194076117e-23 6.313283388039925928e-23
2.929687500000000000e-03 -6.957516595433291883e-23 1.143901569097782066e-22
3.417968750000000000e-03 5.461200256189274961e-23 -2.278140220591239646e-23
3.906250000000000000e-03 -8.263915184490290772e-23 5.433348034442825079e-23
4.394531250000000000e-03 2.601128661352628562e-22 -2.160633707433263860e-23
4.882812500000000000e-03 2.541110105687503195e-22 -1.388993202792969924e-22
5.371093750000000000e-03 -1.160227749704754900e-22 5.373230271918023426e-23
5.859375000000000000e-03 7.331690609478387474e-23 7.019497084958740237e-23
6.347656250000000000e-03 1.872772070739560588e-22 -2.317646528077357872e-23
6.835937500000000000e-03 1.513546392967793725e-23 -4.743010639673391919e-23
7.324218750000000000e-03 8.434462183307970054e-23 -2.076563650982681724e-25
7.812500000000000000e-03 1.673128014596994477e-22 1.558046422208728859e-22
8.300781250000000000e-03 2.925008924064236628e-23 -1.962784911365158369e-23
8.789062500000000000e-03 1.039539518577042553e-22 -2.810044287867226747e-22
9.277343750000000000e-03 -4.552658146680060999e-23 -1.936213773975400013e-22
9.765625000000000000e-03 4.068487990642680324e-23 -1.029969854307143923e-22
1.025390625000000000e-02 8.564221248352653228e-23 5.664206382999912716e-23
1.074218750000000000e-02 -7.426437691323913868e-23 -4.776078440830952901e-23
1.123046875000000000e-02 4.002600447479117075e-23 -5.774449756093133296e-23
1.171875000000000000e-02 -9.299346864313330264e-23 -1.571314754753546894e-22
1.220703125000000000e-02 1.734114742014398930e-22 1.744591292253821863e-23
1.269531250000000000e-02 -2.639523275912348305e-22 -1.339653483232859559e-22
1.318359375000000000e-02 -1.145323644192258975e-22 -1.492190618429496945e-22
1.367187500000000000e-02 -2.760776232757583971e-23 4.326958920251509890e-23
1.416015625000000000e-02 -4.079405215785852473e-23 -1.371259715865597409e-22
1.464843750000000000e-02 -8.581015197021685953e-23 1.571592431203688296e-22
1.513671875000000000e-02 1.152444570568022523e-22 -7.909927353365324423e-24
1.562500000000000000e-02 -9.903668680099731007e-24 -7.307338299853355005e-23
1.611328125000000000e-02 -1.890044454125662229e-22 -4.493627868100001561e-23
1.660156250000000000e-02 -7.193698741371162720e-23 -3.357981845746003772e-22
1.708984375000000000e-02 6.887936135674485932e-23 1.064736591912614358e-22
1.757812500000000000e-02 1.334334562895593296e-22 -7.601803340033013972e-23
1.806640625000000000e-02 2.066729453773168347e-22 1.064956209884758778e-22
1.855468750000000000e-02 1.674184951272959127e-22 -1.216700540640361463e-22
1.904296875000000000e-02 1.471961400982941470e-22 1.559777792294657069e-22
1.953125000000000000e-02 1.590748324339855455e-22 -1.971399118342458231e-22
2.001953125000000000e-02 -1.097172524483366796e-22 1.289953709976724014e-22
2.050781250000000000e-02 -1.187751946497693352e-22 -1.152555752014579435e-22
2.099609375000000000e-02 -1.317006766429849886e-22 4.159202560426509979e-23
2.148437500000000000e-02 -2.868553503863866233e-23 1.486863596437195468e-22
2.197265625000000000e-02 -5.556052324817218736e-23 -1.052383652712944802e-22
2.246093750000000000e-02 -6.552199402615316099e-23 -4.092974275014416587e-23
2.294921875000000000e-02 1.604477662401509712e-22 6.688595470889675089e-23
2.343750000000000000e-02 -2.690156679320465408e-22 -1.087776580076317407e-22
2.392578125000000000e-02 -1.586609718553705729e-23 1.107644506756087296e-22
2.441406250000000000e-02 1.794547921136556206e-22 3.786384444621897120e-23
2.490234375000000000e-02 9.544050784201056530e-23 1.406297775067723750e-22
2.539062500000000000e-02 -4.463611412600375431e-23 1.019768797443658455e-22
2.587890625000000000e-02 3.193028348822538687e-23 9.786776318512485172e-23
2.636718750000000000e-02 -1.277286981918117289e-22 -1.757811440452285068e-22
2.685546875000000000e-02 5.201815486905072355e-23 1.052984547774448437e-22
2.734375000000000000e-02 -3.275046927655000832e-22 9.385610906474307026e-23
2.783203125000000000e-02 -6.914482557553958167e-24 1.492711759004320801e-22
2.832031250000000000e-02 -1.163045857910722810e-22 2.219293554539051265e-22
2.880859375000000000e-02 -7.788536057180241808e-23 7.924508649487984284e-23
2.929687500000000000e-02 7.761098060317247758e-25 -6.099213363763427625e-23
2.978515625000000000e-02 8.590255956214531784e-23 1.243273904555066955e-22
3.027343750000000000e-02 -8.514725799676471937e-23 8.394103920534007434e-23
3.076171875000000000e-02 1.019929794425377489e-22 4.171380302631008019e-22
3.125000000000000000e-02 5.294448182582738436e-23 1.844952363966138888e-22
3.173828125000000000e-02 -1.582327335441124019e-22 4.971371630606943791e-23
3.222656250000000000e-02 -2.077451301738745493e-22 1.616648251160405895e-22
3.271484375000000000e-02 -4.938350576677919325e-23 1.135637365839773282e-22
3.320312500000000000e-02 8.112909176858141066e-23 -2.090361909198961533e-22
3.369140625000000000e-02 1.711271755501131842e-22 -3.332533479675769205e-22
3.417968750000000000e-02 -1.332672030100140036e-23 -1.871218253965154387e-22
3.466796875000000000e-02 4.836573970544533005e-25 1.349590282047437743e-22
3.515625000000000000e-02 4.454698502466910689e-23 -7.259976854175985338e-23
3.564453125000000000e-02 7.906423981377517656e-23 -8.044453165433609517e-23
3.613281250000000000e-02 2.022545819679599150e-23 6.136966301317975684e-23
3.662109375000000000e-02 -1.940312766250427865e-22 -1.194363119036331916e-23
3.710937500000000000e-02 2.001762088896897166e-23 6.979498789894650928e-23
3.759765625000000000e-02 -4.174209409920737414e-23 5.542865602046036877e-23
3.808593750000000000e-02 -1.728029547344118807e-22 3.160633170014353153e-23
3.857421875000000000e-02 1.587042206769699811e-22 -1.789300540990288251e-22
3.906250000000000000e-02 1.916975425952858447e-22 -3.751209943033673861e-22
3.955078125000000000e-02 8.463152118221134304e-23 2.713267785722412822e-22
4.003906250000000000e-02 1.566048791833027727e-22 -1.042375292010020820e-22
4.052734375000000000e-02 -8.812288531381893707e-24 2.104500650741529769e-23
4.101562500000000000e-02 1.467561486884713207e-22 -2.686395846304423595e-22
4.150390625000000000e-02 2.323281536571456281e-24 3.078553054524025733e-23
4.199218750000000000e-02 8.356043772285421007e-23 -1.206812390195937605e-22
4.248046875000000000e-02 1.418369804060521350e-22 7.357881629896735223e-23
4.296875000000000000e-02 5.404587915279452094e-23 -5.701109378724445241e-23
4.345703125000000000e-02 -9.719973238352543902e-23 -2.755292241931364367e-22
4.394531250000000000e-02 -5.960531590938553646e-23 -2.374637695186644170e-22
4.443359375000000000e-02 -2.121123190475124909e-23 -2.779529842671038844e-22
4.492187500000000000e-02 1.586146146702769913e-22 2.362973728130050811e-22
4.541015625000000000e-02 1.456049139478362810e-22 -9.393420382179971285e-24
4.589843750000000000e-02 -1.830563824943814584e-22 5.316738256979883697e-23
4.638671875000000000e-02 -2.404724444123532882e-23 -1.993577399890382250e-22
4.687500000000000000e-02 1.852609464909915097e-22 -2.392168405742609960e-22
4.736328125000000000e-02 4.160816365630870127e-23 -7.525609070572556046e-23
4.785156250000000000e-02 -2.309464099454078208e-22 5.451086394974991067e-23
4.833984375000000000e-02 -1.162155751849114355e-22 -2.102511020817591268e-22
4.882812500000000000e-02 -4.643589883080431115e-23 2.400494593946872572e-22
4.931640625000000000e-02 9.462294943958762275e-23 1.980239609436806892e-23
4.980468750000000000e-02 -4.558505053289042784e-23 5.480998613794524863e-23
5.029296875000000000e-02 1.027616346501921116e-22 1.516734540175280500e-22
5.078125000000000000e-02 -6.291004071979006918e-23 1.901012399216273940e-22
5.126953125000000000e-02 -3.632069348839104506e-23 -2.946312171843517379e-22
5.175781250000000000e-02 6.818191444068001008e-23 1.418958823094744797e-22
5.224609375000000000e-02 4.281659441687153817e-23 1.198652311011710882e-23
5.273437500000000000e-02 2.472493516057541226e-24 7.772405539430013206e-23
5.322265625000000000e-02 1.374440263084200772e-22 2.880112611988271636e-22
5.371093750000000000e-02 1.536618332458762186e-22 3.861294616358496429e-23
5.419921875000000000e-02 -1.179853510600312215e-22 -2.209668678540815784e-23
5.468750000000000000e-02 4.366320336960278035e-24 3.208327727151081913e-24
5.517578125000000000e-02 1.341049134617660060e-23 -3.409648873194759101e-23
5.566406250000000000e-02 -4.818620531485627121e-22 1.571998791907411411e-22
5.615234375000000000e-02 -1.629278076737714324e-22 6.414466181278833506e-25
5.664062500000000000e-02 -1.950669987911880743e-23 2.048625008317415169e-22
5.712890625000000000e-02 5.486012521591394065e-23 -4.600826444234510712e-23
5.761718750000000000e-02 2.257079266707365283e-22 1.849007246404744075e-22
5.810546875000000000e-02 -1.702329591329290104e-22 -6.530094267938517768e-24
5.859375000000000000e-02 2.253135252980998381e-23 1.076685768724431940e-22
5.908203125000000000e-02 -2.908727557443737630e-22 9.226081466103099538e-23
5.957031250000000000e-02 -1.450897656563517786e-22 4.480400533397465466e-24
6.005859375000000000e-02 -7.582680647366108991e-24 3.849363800078234488e-23
6.054687500000000000e-02 -1.127852936219464896e-22 -5.834762218012534473e-23
6.103515625000000000e-02 1.004081346757895257e-22 -3.322408020920179749e-22
6.152343750000000000e-02 -1.125769753330760763e-22 5.087484136910541453e-23
6.201171875000000000e-02 5.008772729036993763e-23 1.036857080558823561e-23
6.250000000000000000e-02 2.812082310012631211e-23 1.219728180593393322e-22
6.298828125000000000e-02 -2.139404075333894023e-22 -8.112477015779494969e-23
6.347656250000000000e-02 -1.484669501363881873e-23 1.988702299908216224e-22
6.396484375000000000e-02 6.018322613525175794e-23 3.607793865321947894e-22
6.445312500000000000e-02 -9.169800214392344622e-24 2.064786964534305447e-22
6.494140625000000000e-02 7.831116054728565080e-23 3.836211599753708024e-23
6.542968750000000000e-02 8.636550065429156129e-23 -1.271610075174893580e-22
6.591796875000000000e-02 6.359844130101050605e-23 2.294047425436966337e-22
6.640625000000000000e-02 -6.695240654633318727e-23 -6.899334397813189005e-23
6.689453125000000000e-02 2.555111176597629743e-22 -4.950672252705129429e-22
6.738281250000000000e-02 -2.109291533556189321e-23 -2.879095417989908680e-23
6.787109375000000000e-02 1.005421604959113315e-22 2.158178243530666190e-22
6.835937500000000000e-02 1.876998819074223528e-22 -2.706659876937971954e-22
6.884765625000000000e-02 8.499372702396539593e-23 -3.044513611570381853e-23
6.933593750000000000e-02 4.877537389714950468e-23 -1.570042674877317479e-22
6.982421875000000000e-02 -1.465232341600616644e-22 -2.434666347458458294e-22
7.031250000000000000e-02 8.455924688901213617e-23 2.098568691280298474e-22
7.080078125000000000e-02 1.200325587348445314e-22 4.377897964278174131e-23
7.128906250000000000e-02 -8.090307909657074222e-23 -2.938567481141031972e-22
7.177734375000000000e-02 -1.115052790648844014e-22 -6.990009457351610841e-23
7.226562500000000000e-02 -2.606789256583722024e-23 8.781895427243818796e-23
7.275390625000000000e-02 -7.176644441572958545e-24 -2.875627650554310916e-22
7.324218750000000000e-02 -4.155405740538930020e-23 -5.021636664833115231e-23
7.373046875000000000e-02 7.343232593228694839e-23 -1.659820709671149477e-22
7.421875000000000000e-02 9.939143066124535106e-23 7.926721564869477902e-23
7.470703125000000000e-02 5.046934121625148348e-23 -1.970797090515878556e-22
7.519531250000000000e-02 3.463783594937241674e-22 1.265068039709583844e-22
7.568359375000000000e-02 -4.650670844928159275e-23 1.422564360349870154e-22
7.617187500000000000e-02 -1.621923170465985791e-22 4.921296906823327390e-24
7.666015625000000000e-02 8.338346019438273299e-23 -1.084434791771020333e-22
7.714843750000000000e-02 2.472729480102648963e-23 -1.393252311456553870e-23
7.763671875000000000e-02 9.998181911897543679e-23 -8.137504553187448627e-23
