# time, h1_noise, l1_noise
0.000000000000000000e+00 -5.386234287313371013e-24 -9.792190286149548296e-24
4.882812500000000000e-04 -1.416359028229156291e-22 1.265438091335668533e-22
9.765625000000000000e-04 -2.382296150531108755e-23 -1.160284286052608358e-22
1.464843750000000000e-03 -3.579870761129353973e-22 7.886709651306606149e-23
1.953125000000000000e-03 -6.983868933813298086e-25 -2.363596011052658313e-22
2.441406250000000000e-03 -6.497104280181766361e-23 4.924210724393545981e-23
2.929687500000000000e-03 -1.590850512715214673e-22 1.390928295471727127e-22
3.417968750000000000e-03 4.210609154404598430e-24 -4.164401951838623766e-22
3.906250000000000000e-03 1.144877100682876532e-23 -6.826683278601790346e-23
4.394531250000000000e-03 -2.253658791784077037e-22 1.139088327520243426e-22
4.882812500000000000e-03 -6.424072347966301265e-23 1.070358599292806834e-22
5.371093750000000000e-03 2.927155328252296417e-24 3.884275964280370796e-23
5.859375000000000000e-03 7.309958205898857309e-25 2.407235207730092915e-24
6.347656250000000000e-03 -1.329316041774054807e-22 -5.153683067945228270e-23
6.835937500000000000e-03 1.291551304437038522e-22 -7.160358850720716225e-23
7.324218750000000000e-03 1.226857946622702064e-22 -1.802957499106422609e-22
7.812500000000000000e-03 -1.323514838070750568e-23 1.059387462950964370e-22
8.300781250000000000e-03 -1.527377056887174107e-22 -1.918298453123988124e-22
8.789062500000000000e-03 -1.510474856973174349e-22 -1.789011065526721823e-22
9.277343750000000000e-03 -3.668746294730883658e-24 -3.249683897741117694e-22
9.765625000000000000e-03 -1.963966886031169519e-22 2.354156784490559197e-22
1.025390625000000000e-02 1.762051777778488654e-22 1.784605461347590220e-22
1.074218750000000000e-02 7.385799769558358216e-23 6.848671631260337690e-23
1.123046875000000000e-02 1.476028148792751090e-22 -1.252949528680170357e-22
1.171875000000000000e-02 1.844458968927026889e-22 6.921206854962665899e-23
1.220703125000000000e-02 -8.941914177902081757e-23 2.200386976107457179e-24
1.269531250000000000e-02 8.599875745934906438e-23 -2.187330926711236683e-23
1.318359375000000000e-02 2.303482183927377820e-22 8.423289862263261614e-23
1.367187500000000000e-02 1.675850251168473199e-22 8.402595408685966099e-23
1.416015625000000000e-02 -4.263127917794181335e-23 -1.612238490642477200e-22
1.464843750000000000e-02 -7.243015454637851191e-23 8.908397454587212246e-23
1.513671875000000000e-02 1.389913262936736649e-22 1.763472001339209463e-22
1.562500000000000000e-02 -9.835706077797998964e-23 -2.827123931391860695e-23
1.611328125000000000e-02 9.578217732096382800e-23 5.161576750546561788e-23
1.660156250000000000e-02 -8.297230218072497921e-23 8.871037805489420143e-23
1.708984375000000000e-02 1.198211626708703752e-22 1.230271762557243220e-22
1.757812500000000000e-02 2.237151037331437742e-22 -2.283347872134231955e-22
1.806640625000000000e-02 9.634900182314766879e-23 3.713210381852869615e-23
1.855468750000000000e-02 1.955170391615788588e-22 -2.097820881969940400e-22
1.904296875000000000e-02 3.224332302672071945e-23 1.928566278993775935e-22
1.953125000000000000e-02 1.194234225534930503e-22 -1.405818510364518334e-22
2.001953125000000000e-02 7.712820747977872916e-23 1.678221356250286454e-22
2.050781250000000000e-02 -1.283628793784759070e-22 -2.889893919007150946e-22
2.099609375000000000e-02 1.655712293594355884e-22 -1.853790449968013539e-23
2.148437500000000000e-02 -7.246945912761328239e-23 3.290586278382458787e-23
2.197265625000000000e-02 -7.185627184268188443e-23 1.451516353538653718e-23
2.246093750000000000e-02 -1.558950584335274442e-22 5.024159500762836089e-23
2.294921875000000000e-02 -4.979813005555760895e-23 2.483092430323933602e-22
2.343750000000000000e-02 1.468658363073878838e-24 -5.047767453721889301e-23
2.392578125000000000e-02 1.647644866977606673e-23 -1.310479594793431687e-22
2.441406250000000000e-02 -1.131289593332148103e-22 -2.086227246973034285e-22
2.490234375000000000e-02 4.613399709191623995e-24 3.238546409857664048e-23
2.539062500000000000e-02 -1.971927753978752705e-24 -1.012323935571398814e-23
2.587890625000000000e-02 4.554678571022693886e-25 -1.581425600129052640e-23
2.636718750000000000e-02 7.019456373965852326e-23 1.032913052663895491e-22
2.685546875000000000e-02 -2.088883835557599391e-22 2.698619766216841983e-23
