# time, h1, l1
0.000000000000000000e+00 -2.003323134564016375e-22 -5.727541709450434874e-23
4.882812500000000000e-04 1.847182786220886695e-22 2.000479249182688574e-22
9.765625000000000000e-04 -1.519637892059252153e-22 -2.248382819665537652e-23
1.464843750000000000e-03 -1.144583372381090908e-22 6.089022647003814589e-23
1.953125000000000000e-03 -7.952407655624773435e-23 1.299274814846936172e-22
2.441406250000000000e-03 -3.065124794399050233e-22 7.949550506406039187e-23
2.929687500000000000e-03 -1.567472562920441626e-22 3.399455460388419045e-23
3.417968750000000000e-03 -3.776613915641451674e-23 2.051580255547257926e-22
3.906250000000000000e-03 9.919433262054283392e-23 2.121637721262789553e-22
4.394531250000000000e-03 1.466664141576821701e-22 -5.348892100687233166e-23
4.882812500000000000e-03 -2.090939147834450034e-22 1.477487280121650778e-22
5.371093750000000000e-03 1.637923523397601588e-23 1.523142045064647004e-22
5.859375000000000000e-03 1.697219946129540461e-23 -5.406420135517126819e-23
6.347656250000000000e-03 3.531981409232298767e-23 6.367552014493392913e-23
6.835937500000000000e-03 -1.854219395115446092e-23 -2.383160788582359525e-22
7.324218750000000000e-03 -3.649682960688336174e-22 -8.756376581702328957e-23
7.812500000000000000e-03 2.511202289812473038e-22 -8.501801947566947321e-23
8.300781250000000000e-03 1.316405446566679129e-22 1.199477657136366595e-22
8.789062500000000000e-03 6.043563422423133110e-23 -2.532195936012785821e-22
9.277343750000000000e-03 1.648798195664527862e-22 1.035153381526773666e-22
9.765625000000000000e-03 -9.843761697822708883e-23 -1.397247806614832201e-22
1.025390625000000000e-02 2.075967046795108089e-22 -1.355371341191830668e-23
1.074218750000000000e-02 -1.816028668517107667e-22 2.020078511453914834e-22
1.123046875000000000e-02 2.474818816646135468e-24 -5.706786217535435467e-23
1.171875000000000000e-02 -6.400091893680265540e-23 -1.258940350467406025e-22
1.220703125000000000e-02 5.563531068809702134e-23 -1.878415607372802671e-22
1.269531250000000000e-02 1.909488040724997832e-22 -4.897007573166667032e-23
1.318359375000000000e-02 -1.588127819438048947e-22 1.326195917503775113e-22
1.367187500000000000e-02 1.793726469505541469e-23 -1.247967505628080425e-22
1.416015625000000000e-02 1.096339662513033296e-22 1.716756432431485589e-22
1.464843750000000000e-02 1.492420114909987997e-22 -1.194284115348108464e-22
1.513671875000000000e-02 1.322275965925583354e-22 7.433839351414790651e-24
1.562500000000000000e-02 1.461615301958272647e-22 -1.858485935501041209e-22
1.611328125000000000e-02 2.695469596467424972e-22 1.109379804128877921e-22
1.660156250000000000e-02 2.395987088141016783e-23 7.664637746140525810e-23
1.708984375000000000e-02 8.048138037992587960e-23 -2.794060269306366903e-22
1.757812500000000000e-02 -2.410099881941955576e-23 2.988906061146217153e-23
1.806640625000000000e-02 2.972893382149470939e-23 -8.422213630014223895e-23
1.855468750000000000e-02 -1.768796190208754439e-22 -4.217797325429113808e-23
1.904296875000000000e-02 1.681442965525129853e-22 -1.562471414991020416e-22
1.953125000000000000e-02 -4.087244496536441543e-23 9.591097890698799965e-23
2.001953125000000000e-02 6.547022820747442620e-23 2.151372419416531240e-22
2.050781250000000000e-02 -2.231194491715697936e-22 6.520494511290200250e-24
2.099609375000000000e-02 9.618703715295526598e-23 -5.624657369080327498e-23
2.148437500000000000e-02 -3.242014521363330147e-23 1.069308778311820768e-22
2.197265625000000000e-02 -1.326058184745324631e-22 7.471087992434055498e-23
2.246093750000000000e-02 -1.713763167580829568e-22 6.499345894249522112e-23
2.294921875000000000e-02 -2.100382708990237993e-22 -1.158793497228283047e-23
