# time, h1_noise, l1_noise
0.000000000000000000e+00 8.275550753980204206e-23 -2.526861315196307478e-22
4.882812500000000000e-04 1.346622791304399229e-22 -4.887427472668838952e-23
9.765625000000000000e-04 -6.646916390344806268e-23 -6.462800501156223995e-23
1.464843750000000000e-03 -1.926224344480712797e-22 1.213684537714515441e-22
1.953125000000000000e-03 1.049706098416688917e-22 6.650542130675772805e-23
2.441406250000000000e-03 2.565190652133177604e-22 -8.803723243358631883e-23
2.929687500000000000e-03 1.328800187994320448e-22 -2.594837291774972000e-22
3.417968750000000000e-03 -6.416950555094324857e-23 1.247023413848896341e-22
3.906250000000000000e-03 -1.084743554695377713e-22 -1.668894682006330166e-22
4.394531250000000000e-03 -8.176132328075648965e-23 2.128382034956460127e-22
4.882812500000000000e-03 1.471674458319733634e-22 8.086696189884049520e-23
5.371093750000000000e-03 2.159484598793672816e-22 4.504069992196617976e-23
5.859375000000000000e-03 -4.013868062372269135e-23 -2.228579928829162968e-22
6.347656250000000000e-03 7.733344477304732328e-24 1.491002578678374348e-22
6.835937500000000000e-03 1.641961105387088741e-22 -2.459540946765640097e-22
7.324218750000000000e-03 -1.619311984627863405e-22 1.326253769954382799e-22
7.812500000000000000e-03 2.804058915649281840e-22 -2.351686706071976408e-22
8.300781250000000000e-03 -2.451440761778969856e-22 -1.169682871896200620e-24
8.789062500000000000e-03 5.171912459914463173e-23 2.950968518991785035e-22
9.277343750000000000e-03 -1.870256283212066100e-22 -1.821089985047494431e-22
9.765625000000000000e-03 5.505468623467498123e-23 -3.716177093416211810e-23
1.025390625000000000e-02 -2.638627308674698179e-24 1.495718811497593901e-22
1.074218750000000000e-02 -2.623779962427289203e-22 1.281478456145920884e-22
1.123046875000000000e-02 -1.869454894101785699e-24 3.853256848260563578e-23
1.171875000000000000e-02 -7.727941626689317520e-23 -3.735075587057980042e-23
1.220703125000000000e-02 -1.080150083001302989e-22 2.918396529133865681e-22
1.269531250000000000e-02 -6.965949916135413222e-23 9.835629997988584640e-23
1.318359375000000000e-02 1.159939721785615464e-22 3.556270052686841028e-23
1.367187500000000000e-02 -1.117679717613936651e-22 -1.073282352848260257e-22
1.416015625000000000e-02 -1.397786376800010735e-22 -6.957746731579635883e-24
1.464843750000000000e-02 8.600316738760507846e-24 7.234451551955724040e-23
1.513671875000000000e-02 -1.349303749623477692e-22 -1.060882596857904095e-22
1.562500000000000000e-02 8.608271064497169015e-23 1.956454156800354782e-22
1.611328125000000000e-02 -9.278613377772966504e-23 -1.475691088945510729e-22
1.660156250000000000e-02 -2.582807862287584823e-22 1.567243160494465505e-22
1.708984375000000000e-02 2.786013196969419471e-22 1.328122022451450527e-22
1.757812500000000000e-02 9.722742424533090648e-23 -2.126326664956128783e-23
1.806640625000000000e-02 1.542919650531532591e-22 8.360238320734012314e-23
1.855468750000000000e-02 1.310053568659548110e-23 -4.637731106760103580e-23
1.904296875000000000e-02 -4.443558565720580426e-23 1.507214677651532876e-23
1.953125000000000000e-02 2.148886339245152411e-23 9.759321165746713308e-24
2.001953125000000000e-02 1.779234190147768512e-22 5.071056456986034529e-23
2.050781250000000000e-02 -9.215722581570849328e-24 2.373174030948808304e-22
2.099609375000000000e-02 -6.541324595533809054e-24 -1.084676576455735412e-22
2.148437500000000000e-02 7.774809398385832838e-23 5.936569528637500951e-23
2.197265625000000000e-02 -4.135131504775878823e-24 -6.989734551868939931e-24
