# time, h1_signal, l1_signal
0.000000000000000000e+00 -1.066540917076030459e-25 -1.750258460944831659e-24
4.882812500000000000e-04 9.564317181749148972e-26 -1.812939163155414121e-24
9.765625000000000000e-04 2.970923966111857961e-25 -1.860506698275896172e-24
1.464843750000000000e-03 4.960370594612464950e-25 -1.892602267419467237e-24
1.953125000000000000e-03 6.908464171646657179e-25 -1.908925887629736083e-24
2.441406250000000000e-03 8.798528249901419848e-25 -1.909345354929342482e-24
2.929687500000000000e-03 1.061510032907307137e-24 -1.893891430686762463e-24
3.417968750000000000e-03 1.234323015366580761e-24 -1.862658048343220815e-24
3.906250000000000000e-03 1.396809325570744359e-24 -1.815916990481318967e-24
4.394531250000000000e-03 1.547652015918401221e-24 -1.754086143060570328e-24
4.882812500000000000e-03 1.685606187199736653e-24 -1.677642360947179149e-24
5.371093750000000000e-03 1.809483554163034402e-24 -1.587239395069909942e-24
5.859375000000000000e-03 1.918293805398040228e-24 -1.483651817853784920e-24
6.347656250000000000e-03 2.011132115335764504e-24 -1.367703899823603766e-24
6.835937500000000000e-03 2.087188974792303864e-24 -1.240385620929514085e-24
7.324218750000000000e-03 2.145875975127979528e-24 -1.102772906666419834e-24
7.812500000000000000e-03 2.186697895398791544e-24 -9.559741632932519428e-25
8.300781250000000000e-03 2.209285540404495186e-24 -8.012406744977027236e-25
8.789062500000000000e-03 2.213499310779561806e-24 -6.398676767896907268e-25
9.277343750000000000e-03 2.199289210380784098e-24 -4.731623335331417309e-25
9.765625000000000000e-03 2.166749795860121127e-24 -3.025457690178954626e-25
1.025390625000000000e-02 2.116199511968458786e-24 -1.294384788529803692e-25
1.074218750000000000e-02 2.048035404562240588e-24 4.475021882264478624e-26
1.123046875000000000e-02 1.962808844552564439e-24 2.185331798452741131e-25
1.171875000000000000e-02 1.861277031452278931e-24 3.904716302409310179e-25
1.220703125000000000e-02 1.744255839445849237e-24 5.591626979061275075e-25
1.269531250000000000e-02 1.612712046654327500e-24 7.231645746849549581e-25
1.318359375000000000e-02 1.467785081948076210e-24 8.811280024562162628e-25
1.367187500000000000e-02 1.310644659350954793e-24 1.031760615615168886e-24
1.416015625000000000e-02 1.142598339158480640e-24 1.173769458286859357e-24
1.464843750000000000e-02 9.650845137017680512e-25 1.305994166015760392e-24
1.513671875000000000e-02 7.795402069685398849e-25 1.427350108085734994e-24
1.562500000000000000e-02 5.875190306388301845e-25 1.536789740674512627e-24
1.611328125000000000e-02 3.906542792312030896e-25 1.633431090577406621e-24
1.660156250000000000e-02 1.905409511815373036e-25 1.716479864558231827e-24
1.708984375000000000e-02 -1.113925752274341860e-26 1.785209769848494831e-24
1.757812500000000000e-02 -2.126812182629460313e-25 1.839081796883438373e-24
1.806640625000000000e-02 -4.124536622697414712e-25 1.877649217280386827e-24
1.855468750000000000e-02 -6.087703586170182599e-25 1.900558705187620232e-24
1.904296875000000000e-02 -7.999776345289541876e-25 1.907656514690702458e-24
